name,country,lat,lon,population,capital
Andimeshk,IR,32.4615,48.35368,135116,0
Andisheh,IR,35.74708,51.27739,116062,0
Andong,KR,36.56636,128.72275,153348,0
Andorra la Vella,AD,42.50779,1.52109,20430,1
Ang Mo Kio New Town,SG,1.38028,103.83972,159340,0
Angarsk,RU,52.55968,103.91413,243158,0
Angeles City,PH,15.15,120.58333,483452,0
Angers,FR,47.47156,-0.55202,168279,0
Angoche,MZ,-16.2325,39.90861,104540,0
Angono,PH,14.5266,121.1536,134975,0
Angra dos Reis,BR,-23.00667,-44.31806,179120,0
Angren,UZ,41.01667,70.14361,191300,0
Anjo,JP,34.95828,137.08054,188693,0
Ankang,CN,32.68,109.01722,870126,0
Ankara,TR,39.91987,32.85427,3517182,1
Anliu,CN,23.69824,115.67953,115560,0
Ann,MM,19.79537,94.04791,119714,0
Ann Arbor,US,42.27756,-83.74088,117070,0
Annaba,DZ,36.9,7.76667,342703,0
Anning,CN,24.92271,102.48496,106795,0
Anqing,CN,30.51365,117.04723,804493,0
Anqiu,CN,36.43417,119.1925,364208,0
Ansan-si,KR,37.32361,126.82194,623256,0
Anshan,CN,41.12361,122.99,1450000,0
Anshun,CN,26.25,105.93333,765313,0
Antakya,TR,36.20655,36.15722,399045,0
Antalya,TR,36.90812,30.69556,1335002,0
Antananarivo,MG,-18.91368,47.53613,1349501,1
Antioch,US,38.00492,-121.80579,110542,0
Antipolo,PH,14.62578,121.12251,913712,0
Antofagasta,CL,-23.65094,-70.39752,401096,0
Antsirabe,MG,-19.86586,47.03333,260907,0
Antsiranana,MG,-12.31732,49.29188,136959,0
Antwerp,BE,51.22047,4.40026,529247,0
Anyama,CI,5.49462,-4.05183,133905,0
Anyang,CN,36.096,114.38278,1146839,0
Anyang-si,KR,37.3925,126.92694,595644,0
Aomori,JP,40.81667,140.73333,298394,0
Apalit,PH,14.95333,120.77,121057,0
Aparecida de Goiania,BR,-16.82333,-49.24389,510770,0
Apatzingan,MX,19.08864,-102.35704,102362,0
Apeldoorn,NL,52.21,5.96944,136670,0
Apia,WS,-13.83333,-171.76666,40407,1
Apopa,SV,13.80722,-89.17917,112158,0
Apucarana,BR,-23.55083,-51.46083,130134,0
Aqsu,CN,41.18418,80.27921,535657,0
Ar Ramtha,JO,32.55873,36.00816,155693,0
Ar Raqqah,SY,35.95283,39.00788,531952,0
Ar Rayyan,QA,25.29194,51.42444,272465,0
Ar Rifa',BH,26.13,50.555,115495,0
Arabi,ET,9.96278,42.49278,148933,0
Arabkir,AM,40.20624,44.50365,119300,0
Aracaju,BR,-10.91111,-37.07167,664908,0
Aracatuba,BR,-21.20889,-50.43278,170024,0
Arad,RO,46.18333,21.31667,169065,0
Araguaina,BR,-7.19111,-48.20722,105019,0
Araguari,BR,-18.64722,-48.18722,117808,0
Arak,IR,34.09493,49.69809,503647,0
Arakawa,JP,35.73825,139.78047,216900,0
Arapiraca,BR,-9.7525,-36.66111,243661,0
Arapongas,BR,-23.41944,-51.42444,119138,0
Arar,SA,30.97531,41.03808,148540,0
Araraquara,BR,-21.79444,-48.17556,168468,0
Araras,BR,-22.35694,-47.38417,135331,0
Araruama,BR,-22.87278,-42.34306,137773,0
Araucaria,BR,-25.59306,-49.41028,151666,0
Araure,VE,9.58144,-69.23851,181820,0
Araxa,BR,-19.59333,-46.94056,111691,0
Arba Minch,ET,6.03333,37.55,201000,0
Arcahaie,HT,18.77019,-72.51226,130306,0
Archway,GB,51.56733,-0.13415,215667,0
Ardabil,IR,38.2498,48.2933,410753,0
Arequipa,PE,-16.39899,-71.53747,1195700,0
Arezzo,IT,43.46276,11.88068,100734,0
Arganzuela,ES,40.40021,-3.69618,148797,0
Argenteuil,FR,48.94788,2.24744,101475,0
Arhus,DK,56.15674,10.21076,285273,0
Arica,CL,-18.47552,-70.30058,241653,0
Arif Wala,PK,26.32478,66.29587,157063,0
Arifwala,PK,30.29058,73.06574,854462,0
Arish,EG,31.13159,33.79844,199243,0
Arjawinangun,ID,-6.64528,108.41028,105845,0
Arkhangel'sk,RU,64.5461,40.55183,349742,0
Arlington,US,32.73569,-97.10807,388125,0
Arlington,US,38.88101,-77.10428,207627,0
Arlit,NE,18.73694,7.38528,106448,0
Armavir,RU,44.99849,41.11472,199548,0
Armenia,CO,4.53656,-75.67263,304314,0
Arnavutkoey,TR,41.18355,28.7402,198165,0
Arnhem,NL,51.98,5.91111,162424,0
Arrah,IN,25.55629,84.66335,261430,0
Arroyo Naranjo,CU,23.03811,-82.37703,210053,0
Arsuz,TR,36.41305,35.89033,109550,0
Artem,RU,43.35757,132.19137,102300,0
Artur Alvim,BR,-23.54015,-46.48581,104864,0
Artux,CN,39.70842,76.17971,285000,0
Arusha,TZ,-3.36667,36.68333,617631,0
Arvada,US,39.80276,-105.08748,115368,0
Aryanah,TN,36.86012,10.19337,114486,0
Arzamas,RU,55.39563,43.8381,109479,0
As Salimiyah,KW,29.33389,48.07611,147649,0
As Salt,JO,32.03917,35.72722,107874,0
As Samawah,IQ,31.33198,45.2944,152890,0
As Sinbillawayn,EG,30.88251,31.46275,124020,0
As Suwayq,OM,23.84944,57.43861,107143,0
Asahikawa,JP,43.77063,142.36489,333530,0
